PINNED:Encountered progress blocker or softlock? Read here!,THE LAW,0,"Hey folks! \nWhile we're on the hunt for those sneaky blockers and softlocks, striving to patch them up as fast as possible, there's always a chance you might stumble upon one. We've put together a handy guide that could assist you in resolving such issues, so why not give it a read? \n\nIf any progress-blocking\/erasing situation happens to you, please still make a thread about it on the \""Tech Support and Bug Reports\"" forum.\nDescribe the issue you have encountered and attach your save game, located in\n[code]...\\Users\\<username>\\AppData\\Local\\Talos2\\Saved\\SaveGames\\[\/code].\nThe save file is named [i]savedata_0\/1\/2.sav[\/i], depending on which game slot card you are playing on. Please upload it to any file hosting service (e.g. Google Drive) and link in the report.\nThis will help us locate the issue and fix it so that it doesn't happen in the future.\n\nAfter that, here are your options of un-locking or restoring your playthrough:\n\n[h3]If you have encoutered a situation where you think the further progression is not possible, but your save file is intact[\/h3]\n\nUse any of the two following methods of unlocking a \""Load checkpoint\"" menu:\n\n[b]Method 1:[\/b]\n1. Go to the Main Menu\n2. While in main menu, press the following key combination on the Numpad (make sure that Num Lock is in the proper state and no buttons are selected): [b]4 6 4 9 7 9 9 9[\/b], that's 8 keys.\n2*. If you're playing with a gamepad (either on PC or on console), the gamepad combination is as follows: [b]LB RB LB RT LT RT RT RT.[\/b] Also 8 keys, should also be pressed in the main menu.\n3. After doing this, open the Play menu. On your savegame, you should be finding a new button called \""Load checkpoint\"".\n\nIf this didn't work, \n[b]Method 2:[\/b]\n(1) Close game\n(2) Open game properties in Steam and in the Launch Options add the following line:\n[code]-ExecCmds=\""Talos.ShowLoadCheckpointMenu 1\""[\/code]\nThen launch the game and you should see that \""Load checkpoint\"" menu.\n\nAfter unlocking the \""Load checkpoint\"" menu using any of these two methods, use it to restore an older checkpoint.\n\n\n[h3]If your save file has visually disappeared, or has been randomly reset to the start of the game[\/h3]\n\n1. Close the game\n2. Locate the save file folder \n[code]...\\Users\\<username>\\AppData\\Local\\Talos2\\Saved\\SaveGames\\[\/code]\n3. Move your current save file out of it. If you are playing on the first save slot card, that is the file [i]savedata_0.sav[\/i], if you're playing on the second card it is [i]savedata_1.sav[\/i] etc.\n4. Locate the backup save files associated with your playthrough, e.g. if you are playing on the second save slot card, they should be named [i]savedata_1_backup_0.sav[\/i] and [i]savedata_1_backup_1.sav[\/i].\n5. Rename the most recently changed backup file between these two to [i]savedata_1.sav[\/i].\n6. Launch the game again, your save should be restored to a slightly outdated backup point.\n7. If this somehow didn't work, try also renaming the other backup save file.",https://steamcommunity.com/app/835960/discussions/1/3936769579826100255/,,,,,,,,The Talos Principle 2
integrated GPU,Hawk,0,Will support be added?,https://steamcommunity.com/app/835960/discussions/1/4030222382930594884/,,,,,,,,The Talos Principle 2
Directx12 problem,tan.lesong,2,"Im having the directx12 not supported message pop up when i launch the game.\nMy computer shows Directfx12 when i check using windows+r and dxdiag\ngpu: intel(r) graphics hd 4000 and Geforce gt 635m, are these integrated gpus or dedicated ones? sorry i dont know\nversion: windows 10 22h2\nlogs: https:\/\/pastebin.com\/t1kzh8Ai \nis my computer just not supported or is there something i need to do? thanks so much",https://steamcommunity.com/app/835960/discussions/1/4030222382930053355/,,,,,,,,The Talos Principle 2
Frame generation momentary game freeze & stutters,Havoc,3,"Having an odd issue with frame-gen, after a minute or two with frame-gen enabled the game will freeze up, and then after a few seconds will unfreeze.\n\nAfter unfreezing the game becomes extremely stuttery in some weird way, like the frame-gen is now only half-working, and moving camera around makes an awful stutter effect.\n\nDisabling framegen lets it work fine, but of course that then lowers FPS by quite a bit ;_;\n\nHad this with 2 different NV drivers, 545.84 & 546.08 (hotfix), other games like AW2 seem to have no issue with framegen.",https://steamcommunity.com/app/835960/discussions/1/3936769579821633137/,,,,,,,,The Talos Principle 2
Game crashes on launch,Allegromancer,8,"Hi everyone! Hoping someone can help me - just bought Talos 2 and I can't get beyond about 2 seconds into the intro screen before the game crashes. Already verified file integrity in Steam, updated graphics card drivers, restarted PC. Here's my log file: https:\/\/pastebin.com\/3UCQPPnV",https://steamcommunity.com/app/835960/discussions/1/4030221396679209841/,,,,,,,,The Talos Principle 2
Conversation would only trigger in First Person View,Roman015,0,"I'm not sure if this was just in my playthrough but after finishing utopia\/dystopia puzzles- the final, \""Press e to talk to [spoiler]Athena[\/spoiler]\"" didn't appear in third person view, but only when I switched to first person did it appear. When I switched back to third person and looked elsewhere, I could not trigger that conversation again until I went back to first person and looked at that character again.\n\nI used GeForce Now to play this game.",https://steamcommunity.com/app/835960/discussions/1/4030222382930120803/,,,,,,,,The Talos Principle 2
Any timeline on frame generation?,Spook,2,"Hey Croteam, do you have any timeline on frame generation working with up to date drivers?",https://steamcommunity.com/app/835960/discussions/1/4030222382928517860/,,,,,,,,The Talos Principle 2
DirectX12 error,Lorem,1,"Hello, I am encountering an error when attempting to open the game saying \""DirectX 12 is not supported on your system. Try running without the -dx12 or -d3d12 command line argument.\"" I have updated my drivers and nearest I can tell my system meets the requirements. I have tried running it with \""-dx11\"", \""-dx12\"", and \""-d3d12\"" in the properties launch options, as well as leaving launch options blank. Here are my logs: https:\/\/pastebin.com\/Y60ChXsw \n\nWhat should I do?",https://steamcommunity.com/app/835960/discussions/1/4030222382927953860/,,,,,,,,The Talos Principle 2
Logic/graphic bug,Fighter_34RUS,1,"https:\/\/steamcommunity.com\/profiles\/76561198091536880\/screenshot\/2314350571777948514\/\n\nGhost of birth of Miranda - Miranda, Cornelius and Athena are present. Everyone is in a modernized form, although Athena should be in its original form",https://steamcommunity.com/app/835960/discussions/1/4030222382922579046/,,,,,,,,The Talos Principle 2
Music Crackling/Popping Issue,Time,3,"There is a crackling sound in the music and the solution was to just turn the music volume in the settings to zero. I so happen to be in South 2 while this issue started happening. I don't know if it's region specific.\n\nEDIT: I'm now on South 3 and the audio glitching is happening even with music turned off. I have to press ESCAPE, then turn master volume off, i.e. just silencing everything for a moment, then the issue is gone momentarily until things start to eventually crackle again.",https://steamcommunity.com/app/835960/discussions/1/4030221953771418312/,,,,,,,,The Talos Principle 2
