PINNED:Game won't start,k1mon,0,"[b]For players with 10th Gen Intel CPUs or newer (11, 12, 13, etc.):[\/b]\n[olist]\n    [*]Open the System menu in Settings with \u229e Win+Pause\n    [*]Select Advanced system settings\n    [*]In the new System properties window, select the Advanced tab and click the Environment Variables button\n    [*]In the System variables section, click the New button and enter these values:\nVariable name: OPENSSL_ia32cap\nVariable value: :~0x20000000\n    [*]Reboot or sign out\/sign in.\n[\/olist]\n\n[b]For all other CPUs or if the above didn't work:[\/b]\n\nPlease try disconnecting your internet or blocking the game's internet access through your firewall, and the game should launch normally.\n\nTo do the second:\n[olist]\n    [*]Select the Start menu, type Allow an app through Windows Firewall, and from the list of results, scroll down to Hello Neighbor\n    [*]Select Change settings. You might be asked for an administrator password or to confirm your choice\n    [*]To remove an app, clear the check box next to the app, and then select OK\n    [*]Start the game and press Cancel when prompted by Windows to add it to the Firewall exceptions\n[\/olist]\n\nThis should also work with and without mods, so if you are playing with mods, please make sure the ones you want to use are subscribed to\/downloaded before you can disconnect your internet connection.\n\n[b]If nothing of the above resolves the crash on launch for you[\/b], please refer to the rest of our [url=https:\/\/tinybuildgames.zendesk.com\/hc\/en-us\/categories\/5763416387988-Troubleshooting] Troubleshooting articles [\/url], or contact our [url=https:\/\/tinybuildgames.zendesk.com\/hc\/en-us\/requests\/new] Player Support [\/url].",https://steamcommunity.com/app/521890/discussions/1/3318611373470607839/,,,,,,,,Hello Neighbour,Bug Report
PINNED:Troubleshooting & Sharing Corrupted Save Files,Cutecutecute,10,"Hi there!\n\nA troubleshooting guide for common issues is here: https:\/\/tinybuildgames.zendesk.com\/hc\/en-us\n\nIf this doesn't help, please post a thread on the forum. We're reading all of them.\n\nIf you had a save file corruption issue, please send your save file via Submit a request form in our Help Center.\n\nThe save file is located at ..\\users\\username\\AppData\\Local\\HelloNeighbor\\SaveGames",https://steamcommunity.com/app/521890/discussions/1/3318610798937638616/,,,,,,,,Hello Neighbour,Bug Report
Game crashes when i open the game pls help,Oprion,5,"LowLevelFatalError [File:Unknown] [Line: 251]\nResult failed\nat\nc:\\work\\.git\\UE4_20\\Engine\\Source\\Runtime\\Windows\\D3D11RHI\\Privat\ne\\D3D11Viewport.cpp:304\nwith error E_FAIL\n\nim opening game and i saw this all times,I verified file integrity ,i deleted game 3 times, but still doesn't work, what am i suppose to do ?",https://steamcommunity.com/app/521890/discussions/1/3830916907604491475/,,,,,,,,Hello Neighbour,Bug Report
Audio,moony,0,"I've had this bug just now where I paused the game, I've heard how neighbor was walking on the grass. Unpaused it, and sound still was there even tho he wasn't walking on the grass. And it never stopped. I decided to relaunch the game, and sound continued even in main menu, and stopped in 5 sec after I closed the game",https://steamcommunity.com/app/521890/discussions/1/4039229582009739165/,,,,,,,,Hello Neighbour,Bug Report
Не запускается игра,Nikolaich,22,"\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u043a\u0443\u043f\u0438\u043b \u0438\u0433\u0440\u0443, \u0443\u0441\u0442\u0430\u043d\u043e\u0432\u0438\u043b, \u043d\u0430\u0436\u0438\u043c\u0430\u044e \u0438\u0433\u0440\u0430\u0442\u044c \u0434\u0430\u043b\u044c\u0448\u0435 \u043f\u043e\u044f\u0432\u043b\u044f\u0435\u0442\u0441\u044f \u0437\u0430\u0441\u0442\u0430\u0432\u043a\u0430 \u0441 \u0447\u0430\u0441\u0430\u043c\u0438 \u043d\u0430 3-5 \u0441\u0435\u043a\u0443\u043d\u0434 \u0438 \u0438\u0433\u0440\u0430 \u0432\u044b\u043b\u0435\u0442\u0430\u0435\u0442. \u0427\u0442\u043e \u0434\u0435\u043b\u0430\u0442\u044c \u0438 \u043a\u0430\u043a \u043f\u043e\u0438\u0433\u0440\u0430\u0442\u044c?",https://steamcommunity.com/app/521890/discussions/1/3945776779137512246/,,,,,,,,Hello Neighbour,Bug Report
Модификации в Hello Neighbor,Memento Mori,0,"\u0412\u0441\u0435 \u043c\u043e\u0434\u0438\u0444\u0438\u043a\u0430\u0446\u0438\u0438, \u043a\u043e\u0442\u043e\u0440\u044b\u0435 \u044f \u0443\u0441\u0442\u0430\u043d\u0430\u0432\u043b\u0438\u0432\u0430\u043b \u0443\u0434\u0430\u043b\u0438\u043b\u0438\u0441\u044c \u043f\u043e\u0441\u043b\u0435 \u043f\u0435\u0440\u0435\u0443\u0441\u0442\u0430\u043d\u043e\u0432\u043a\u0438 \u0441\u0430\u043c\u043e\u0433\u043e \u0441\u043e\u0441\u0435\u0434\u0430, \u0447\u0442\u043e \u0434\u0435\u043b\u0430\u0442\u044c",https://steamcommunity.com/app/521890/discussions/1/5971271978944050219/,,,,,,,,Hello Neighbour,Bug Report
Не запускается игра,Nikolaich,0,"\u0421\u0435\u0433\u043e\u0434\u043d\u044f \u043a\u0443\u043f\u0438\u043b \u0438\u0433\u0440\u0443, \u0443\u0441\u0442\u0430\u043d\u043e\u0432\u0438\u043b, \u043d\u0430\u0436\u0438\u043c\u0430\u044e \u0438\u0433\u0440\u0430\u0442\u044c \u0434\u0430\u043b\u044c\u0448\u0435 \u043f\u043e\u044f\u0432\u043b\u044f\u0435\u0442\u0441\u044f \u0437\u0430\u0441\u0442\u0430\u0432\u043a\u0430 \u0441 \u0447\u0430\u0441\u0430\u043c\u0438 \u043d\u0430 3-5 \u0441\u0435\u043a\u0443\u043d\u0434 \u0438 \u0438\u0433\u0440\u0430 \u0432\u044b\u043b\u0435\u0442\u0430\u0435\u0442. \u0427\u0442\u043e \u0434\u0435\u043b\u0430\u0442\u044c \u0438 \u043a\u0430\u043a \u043f\u043e\u0438\u0433\u0440\u0430\u0442\u044c?",https://steamcommunity.com/app/521890/discussions/1/3945776362355449042/,,,,,,,,Hello Neighbour,Bug Report
Game crashes on startup,King of Silly,13,"Just bought (less than 30 min ago), crashes when showing the Clock icon, i have accepted the permissions needed",https://steamcommunity.com/app/521890/discussions/1/3807282258515271134/,,,,,,,,Hello Neighbour,Bug Report
Проблема с игрой hello neighbor,_kaplya_,2,"\u041f\u0440\u0438 \u0437\u0430\u043f\u0443\u0441\u043a\u0435 \u0438\u0433\u0440\u0430 \u0444\u0440\u0438\u0437\u0438\u0442 \u0430 \u043d\u0430 \u044d\u043a\u0440\u0430\u043d\u0435 \u0441 \u043d\u0430\u0434\u043f\u0438\u0441\u044c\u044e tinybuild \u0438\u0433\u0440\u0430 \u0437\u0430\u0432\u0438\u0441\u0430\u0435\u0442 \u0438 \u0434\u0430\u043b\u044c\u0448\u0435 \u043d\u0435 \u0440\u0430\u0431\u043e\u0442\u0430\u0435\u0442, \u043f\u0440\u0438 \u044d\u0442\u043e\u043c \u043c\u0443\u0437\u044b\u043a\u0430 \u0438\u0434\u0451\u0442 \u0438 \u0435\u0441\u0442\u044c \u0437\u0432\u0443\u043a \u0447\u0430\u0441\u043e\u0432. \u0412 \u0434\u0438\u0441\u043f\u0435\u0447\u0435\u0440\u0435 \u0437\u0430\u0434\u0430\u0447 \u043d\u0430\u043f\u0438\u0441\u0430\u043d\u043d\u043e \u0447\u0442\u043e \u0438\u0433\u0440\u0430 \u043d\u0435 \u043e\u0442\u0432\u0435\u0447\u0430\u0435\u0442. \u0421\u0442\u0430\u043b\u043a\u043d\u0443\u043b\u0441\u044f \u0441 \u043f\u0440\u043e\u0431\u043b\u0435\u043c\u043e\u0439 \u043f\u043e\u0441\u043b\u0435 \u043f\u0435\u0440\u0443\u0441\u0442\u0430\u043d\u043e\u0432\u043a\u0438 \u0438\u0433\u0440\u044b \u043f\u0435\u0440\u0435\u0443\u0441\u0442\u0430\u043d\u043e\u0432\u0438\u043b \u0435\u0449\u0435 \u0440\u0430\u0437 \u043d\u0435 \u043f\u043e\u043b\u0443\u0447\u0438\u043b\u043e\u0441\u044c \u0440\u0435\u0448\u0438\u0442\u044c \u043f\u0440\u043e\u0448\u0443 \u043f\u043e\u043c\u043e\u0447\u044c.",https://steamcommunity.com/app/521890/discussions/1/3874840863853225049/,,,,,,,,Hello Neighbour,Bug Report
When I play the game the tab for it is small but then I try to fullscreen it but then when I do it makes everything in the game blurry and some more weird problems,spencerkes2011,1,Can anyone tell me why the game is doing this?w,https://steamcommunity.com/app/521890/discussions/1/3880470997347664952/,,,,,,,,Hello Neighbour,Bug Report
